id,llm,bart_score_forward,bart_score_reverse,bart_score_avg
41189_2,ibm-granite/granite-8b-code-base,-2.4414827823638916,-2.264115571975708,-2.3527991771698
41375_3,google/codegemma-7b,-5.647064208984375,-2.306975841522217,-3.977020025253296
41375_3,meta-llama/CodeLlama-7b-hf,-2.8970210552215576,-7.343053340911865,-5.120037198066711
41375_3,Qwen/CodeQwen1.5-7B,-6.6856536865234375,-1.8628711700439453,-4.274262428283691
41375_3,bigcode/starcoder2-7b,-6.6856536865234375,-1.8628711700439453,-4.274262428283691
41375_3,ibm-granite/granite-8b-code-base,-5.021705150604248,-2.3939247131347656,-3.707814931869507
41546_1,google/codegemma-7b,-4.388407230377197,-6.794061660766602,-5.591234445571899
41546_1,meta-llama/CodeLlama-7b-hf,-6.887323379516602,-6.449871063232422,-6.668597221374512
41546_1,Qwen/CodeQwen1.5-7B,-6.613345146179199,-7.200012683868408,-6.906678915023804
41546_1,bigcode/starcoder2-7b,-6.4106059074401855,-6.241208076477051,-6.325906991958618
41546_1,ibm-granite/granite-8b-code-base,-5.453298568725586,-6.445983409881592,-5.949640989303589
42579_2,google/codegemma-7b,-3.8457083702087402,-1.6060863733291626,-2.7258973717689514
42579_2,meta-llama/CodeLlama-7b-hf,-2.2429251670837402,-2.43143892288208,-2.33718204498291
42579_2,Qwen/CodeQwen1.5-7B,-2.2521755695343018,-2.1169331073760986,-2.1845543384552
42579_2,bigcode/starcoder2-7b,-2.708425521850586,-2.106580972671509,-2.4075032472610474
42579_2,ibm-granite/granite-8b-code-base,-2.708425760269165,-2.106580972671509,-2.407503366470337
43191_3,google/codegemma-7b,-3.71769642829895,-3.2613749504089355,-3.489535689353943
43191_3,meta-llama/CodeLlama-7b-hf,-3.5869195461273193,-7.329092025756836,-5.458005785942078
43191_3,Qwen/CodeQwen1.5-7B,-3.5770201683044434,-5.6656718254089355,-4.6213459968566895
43191_3,bigcode/starcoder2-7b,-2.7798848152160645,-6.910159587860107,-4.845022201538086
43191_3,ibm-granite/granite-8b-code-base,-2.622756004333496,-9.845197677612305,-6.2339768409729
43653_24,google/codegemma-7b,-1.3576558828353882,-1.6682895421981812,-1.5129727125167847
43653_24,meta-llama/CodeLlama-7b-hf,-1.3327322006225586,-1.6112840175628662,-1.4720081090927124
43653_24,Qwen/CodeQwen1.5-7B,-1.3327322006225586,-1.6112838983535767,-1.4720080494880676
43653_24,bigcode/starcoder2-7b,-1.3327322006225586,-1.6112840175628662,-1.4720081090927124
43653_24,ibm-granite/granite-8b-code-base,-1.2832738161087036,-1.611283540725708,-1.4472786784172058
43663_2,google/codegemma-7b,-7.169341087341309,-5.388187219068641e-06,-3.584673237764264
43663_2,meta-llama/CodeLlama-7b-hf,-6.3830885887146,-3.258653163909912,-4.820870876312256
43663_2,Qwen/CodeQwen1.5-7B,-4.8467488288879395,-2.5344223976135254,-3.6905856132507324
43663_2,bigcode/starcoder2-7b,-6.133889675140381,-5.793487616756465e-06,-3.066947734313999
43663_2,ibm-granite/granite-8b-code-base,-6.957148551940918,-7.182256467785919e-06,-3.478577867098693
44282_5,google/codegemma-7b,-5.550605297088623,-3.5985615253448486,-4.574583411216736
44282_5,meta-llama/CodeLlama-7b-hf,-6.428779602050781,-2.3069183826446533,-4.367848992347717
44282_5,Qwen/CodeQwen1.5-7B,-7.563863754272461,-5.52161169052124,-6.542737722396851
44282_5,bigcode/starcoder2-7b,-6.765744686126709,-4.214921474456787,-5.490333080291748
44282_5,ibm-granite/granite-8b-code-base,-6.356561183929443,-5.411625385284424,-5.884093284606934
